TripCode,Time,SampleID,Depth,Nitrate,Phosphate,Silicate
MAI20090421,4/21/2009,MAI20090421_0,0,1.9,0.21,0.6
MAI20090421,4/21/2009,MAI20090421_10,10,1.8,0.2,0.6
MAI20090421,4/21/2009,MAI20090421_20,20,1.9,0.2,0.6
MAI20090421,4/21/2009,MAI20090421_30,30,1.9,0.21,0.6
MAI20090421,4/21/2009,MAI20090421_40,40,1.9,0.21,0.6
MAI20090421,4/21/2009,MAI20090421_50,50,1.9,0.22,0.6
MAI20090421,4/21/2009,MAI20090421_60,60,2.0,0.22,0.6
MAI20090421,4/21/2009,MAI20090421_75,75,2.0,0.22,0.6
MAI20090421,4/21/2009,MAI20090421_80,85,2.0,0.24,0.5
MAI20090506,5/6/2009,MAI20090506_0,0,1.8,0.17,0.4
MAI20090506,5/6/2009,MAI20090506_10,10,1.8,0.16,0.5
MAI20090506,5/6/2009,MAI20090506_20,20,1.8,0.18,0.4
MAI20090506,5/6/2009,MAI20090506_30,30,1.9,0.18,0.5
MAI20090506,5/6/2009,MAI20090506_40,40,2.9,0.24,0.7
MAI20090506,5/6/2009,MAI20090506_50,50,3.1,0.27,0.7
MAI20090506,5/6/2009,MAI20090506_60,60,3.1,0.27,0.8
MAI20090506,5/6/2009,MAI20090506_75,75,3.0,0.3,0.9
MAI20090506,5/6/2009,MAI20090506_80,85,3.0,0.3,0.9
MAI20090601,6/1/2009,MAI20090601_0,0,3.8,0.34,1.1
MAI20090601,6/1/2009,MAI20090601_10,10,3.8,0.34,1.1
MAI20090601,6/1/2009,MAI20090601_20,20,3.8,0.34,1.1
MAI20090601,6/1/2009,MAI20090601_30,30,3.7,0.34,1.1
MAI20090601,6/1/2009,MAI20090601_40,40,3.7,0.35,1.2
MAI20090601,6/1/2009,MAI20090601_50,50,3.7,0.34,1.2
MAI20090601,6/1/2009,MAI20090601_60,60,3.6,0.34,1.2
MAI20090601,6/1/2009,MAI20090601_75,75,3.5,0.34,1.2
MAI20090601,6/1/2009,MAI20090601_80,85,3.5,0.34,1.2
MAI20090716,7/16/2009,MAI20090716_0,0,3.0,0.32,1.0
MAI20090716,7/16/2009,MAI20090716_10,10,3.0,0.33,0.9
MAI20090716,7/16/2009,MAI20090716_20,20,3.0,0.27,0.9
MAI20090716,7/16/2009,MAI20090716_30,30,3.0,0.32,0.9
MAI20090716,7/16/2009,MAI20090716_40,40,3.0,0.28,0.9
MAI20090716,7/16/2009,MAI20090716_50,50,2.9,0.33,0.9
MAI20090716,7/16/2009,MAI20090716_60,60,3.0,0.31,0.9
MAI20090716,7/16/2009,MAI20090716_75,75,3.1,0.3,0.9
MAI20090716,7/16/2009,MAI20090716_80,85,3.2,0.32,0.9
MAI20090820,8/20/2009,MAI20090820_0,0,3.1,0.35,1.1
MAI20090820,8/20/2009,MAI20090820_10,10,3.2,0.36,1.1
MAI20090820,8/20/2009,MAI20090820_20,20,3.3,0.36,1.1
MAI20090820,8/20/2009,MAI20090820_30,30,3.5,0.37,1.1
MAI20090820,8/20/2009,MAI20090820_40,40,3.6,0.38,1.1
MAI20090820,8/20/2009,MAI20090820_50,50,3.8,0.4,1.1
MAI20090820,8/20/2009,MAI20090820_60,60,3.6,0.38,1.1
MAI20090820,8/20/2009,MAI20090820_75,75,3.6,0.38,1.1
MAI20090820,8/20/2009,MAI20090820_80,85,3.5,0.38,1.1
MAI20090907,9/7/2009,MAI20090907_0,0,3.2,0.31,1.1
MAI20090907,9/7/2009,MAI20090907_10,10,3.2,0.29,1.0
MAI20090907,9/7/2009,MAI20090907_20,20,3.2,0.29,1.0
MAI20090907,9/7/2009,MAI20090907_30,30,3.2,0.3,1.0
MAI20090907,9/7/2009,MAI20090907_40,40,3.2,0.29,1.0
MAI20090907,9/7/2009,MAI20090907_50,50,3.2,0.31,1.0
MAI20090907,9/7/2009,MAI20090907_60,60,3.1,0.27,0.9
MAI20090907,9/7/2009,MAI20090907_75,75,3.0,0.29,0.9
MAI20090907,9/7/2009,MAI20090907_80,85,3.1,0.31,0.9
MAI20091013,10/13/2009,MAI20091013_0,0,0.5,0.23,0.0
MAI20091013,10/13/2009,MAI20091013_10,10,0.6,0.24,0.0
MAI20091013,10/13/2009,MAI20091013_20,20,1.0,0.27,0.0
