FID,Project,StationName,TripCode,TripDate_UTC,SampleTime_Local,Latitude,Longitude,SecchiDepth_m,SampleID,SampleDepth_m,Salinity,Salinity_flag,DIC_umolkg,DIC_flag,Alkalinity_umolkg,Alkalinity_flag,Oxygen_umolL,Oxygen_flag,Ammonium_umolL,Ammonium_flag,Nitrate_umolL,Nitrate_flag,Nitrite_umolL,Nitrite_flag,Phosphate_umolL,Phosphate_flag,Silicate_umolL,Silicate_flag,AustralianMicrobiomeId,geom
bgc_chemistry_data.fid-736cf608_19109cfb83b_6b5c,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 12:00:00,-42.5967,148.2333,15.2,MAI20090421_0,0,35.365,1,2075.52,1,2327.27,1,,9,0.12,1,1.9,1,,9,0.21,1,0.6,1,,POINT (148.23333 -42.59667)
bgc_chemistry_data.fid-736cf608_19109cfb83b_6b5d,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 12:00:00,-42.5967,148.2333,15.2,MAI20090421_10,10,35.359,1,2074.78,1,2331.13,1,,9,0.12,1,1.8,1,,9,0.2,1,0.6,1,,POINT (148.23333 -42.59667)
bgc_chemistry_data.fid-736cf608_19109cfb83b_6b5e,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 12:00:00,-42.5967,148.2333,15.2,MAI20090421_20,20,35.361,1,,9,,9,,9,0.1,1,1.9,1,,9,0.2,1,0.6,1,,POINT (148.23333 -42.59667)
bgc_chemistry_data.fid-736cf608_19109cfb83b_6b5f,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 12:00:00,-42.5967,148.2333,15.2,MAI20090421_30,30,35.367,1,2079.13,1,2327.28,1,,9,0.16,1,1.9,1,,9,0.21,1,0.6,1,,POINT (148.23333 -42.59667)
bgc_chemistry_data.fid-736cf608_19109cfb83b_6b60,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 12:00:00,-42.5967,148.2333,15.2,MAI20090421_40,40,35.359,1,,9,,9,,9,0.15,1,1.9,1,,9,0.21,1,0.6,1,,POINT (148.23333 -42.59667)
bgc_chemistry_data.fid-736cf608_19109cfb83b_6b61,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 12:00:00,-42.5967,148.2333,15.2,MAI20090421_50,50,35.361,1,2075.69,1,2326.6,1,,9,0.14,1,1.9,1,,9,0.22,1,0.6,1,,POINT (148.23333 -42.59667)
bgc_chemistry_data.fid-736cf608_19109cfb83b_6b62,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 12:00:00,-42.5967,148.2333,15.2,MAI20090421_60,60,35.375,1,,9,,9,,9,0.22,1,2,1,,9,0.22,1,0.6,1,,POINT (148.23333 -42.59667)
bgc_chemistry_data.fid-736cf608_19109cfb83b_6b63,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 12:00:00,-42.5967,148.2333,15.2,MAI20090421_75,75,35.383,1,2077.94,1,2326.66,1,,9,0.22,1,2,1,,9,0.22,1,0.6,1,,POINT (148.23333 -42.59667)
bgc_chemistry_data.fid-736cf608_19109cfb83b_6b64,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 12:00:00,-42.5967,148.2333,15.2,MAI20090421_80,80,35.371,1,2077.62,1,2336.57,1,,9,0.2,1,2,1,,9,0.24,1,0.5,1,,POINT (148.23333 -42.59667)
bgc_chemistry_data.fid-736cf608_19109cfb83b_6b65,NRS,Maria Island,MAI20090506,2009-05-06,2009-05-06 03:00:00,-42.5967,148.2333,9,MAI20090506_0,0,35.519,1,2071.52,1,2332.09,1,,9,0.06,1,1.8,1,,9,0.17,1,0.4,1,,POINT (148.23333 -42.59667)
bgc_chemistry_data.fid-736cf608_19109cfb83b_6b66,NRS,Maria Island,MAI20090506,2009-05-06,2009-05-06 03:00:00,-42.5967,148.2333,9,MAI20090506_10,10,35.517,1,2068.93,1,2329.84,1,,9,0.03,1,1.8,1,,9,0.16,1,0.5,1,,POINT (148.23333 -42.59667)
bgc_chemistry_data.fid-736cf608_19109cfb83b_6b67,NRS,Maria Island,MAI20090506,2009-05-06,2009-05-06 11:40:00,-42.5967,148.2333,9,MAI20090506_20,20,35.519,1,,9,,9,249.2,1,0.05,1,1.8,1,,9,0.18,1,0.4,1,,POINT (148.23333 -42.59667)
bgc_chemistry_data.fid-736cf608_19109cfb83b_6b68,NRS,Maria Island,MAI20090506,2009-05-06,2009-05-06 03:00:00,-42.5967,148.2333,9,MAI20090506_30,30,35.519,1,2071.73,1,2331.79,1,,9,0,1,1.9,1,,9,0.18,1,0.5,1,,POINT (148.23333 -42.59667)
bgc_chemistry_data.fid-736cf608_19109cfb83b_6b69,NRS,Maria Island,MAI20090506,2009-05-06,2009-05-06 11:40:00,-42.5967,148.2333,9,MAI20090506_40,40,35.365,1,,9,,9,,9,0,1,2.9,1,,9,0.24,1,0.7,1,,POINT (148.23333 -42.59667)
bgc_chemistry_data.fid-736cf608_19109cfb83b_6b6a,NRS,Maria Island,MAI20090506,2009-05-06,2009-05-06 03:00:00,-42.5967,148.2333,9,MAI20090506_50,50,35.308,1,2080.44,1,2321.88,1,,9,0,1,3.1,1,,9,0.27,1,0.7,1,,POINT (148.23333 -42.59667)
bgc_chemistry_data.fid-736cf608_19109cfb83b_6b6b,NRS,Maria Island,MAI20090506,2009-05-06,2009-05-06 11:40:00,-42.5967,148.2333,9,MAI20090506_60,60,35.293,1,,9,,9,,9,0.01,1,3.1,1,,9,0.27,1,0.8,1,,POINT (148.23333 -42.59667)
