FID,Project,StationName,TripCode,TripDate_UTC,SampleTime_Local,Latitude,Longitude,SecchiDepth_m,SampleID,SampleDepth_m,Allo_mgm3,AlphaBetaCar_mgm3,Anth_mgm3,Asta_mgm3,BetaBetaCar_mgm3,BetaEpiCar_mgm3,Butfuco_mgm3,Cantha_mgm3,CphlA_mgm3,CphlB_mgm3,CphlC1_mgm3,CphlC2_mgm3,CphlC3_mgm3,CphlC1C2_mgm3,CphlideA_mgm3,Diadchr_mgm3,Diadino_mgm3,Diato_mgm3,Dino_mgm3,DvCphlA+CphlA_mgm3,DvCphlA_mgm3,DvCphlB+CphlB_mgm3,DvCphlB_mgm3,Echin_mgm3,Fuco_mgm3,Gyro_mgm3,Hexfuco_mgm3,Ketohexfuco_mgm3,Lut_mgm3,Lyco_mgm3,MgDvp_mgm3,Neo_mgm3,Perid_mgm3,PhideA_mgm3,PhytinA_mgm3,PhytinB_mgm3,Pras_mgm3,PyrophideA_mgm3,PyrophytinA_mgm3,Viola_mgm3,Zea_mgm3,Pigments_flag,geom
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_611e,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 13:55:00,-42.5967,148.2333,15.2,MAI20090421_20,20,0.05,0.019,0,0.004,,,0.028,0,0.685,0.267,0,0.095,0.059,,0.058,0,0.016,0.004,0,0.691,0.006,0.267,0,0,0.044,0,0.097,0,0.003,0,0,0.032,0.01,0,0,0,0.057,0,0,0.025,0.028,0,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_611f,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 13:50:00,-42.5967,148.2333,15.2,MAI20090421_80,80,0.02,0.012,0,0,,,0.015,0,0.356,0.131,0,0.044,0.033,,0,0,0.007,0,0,0.36,0.004,0.131,0,0,0.02,0,0.047,0,0,0,0,0.011,0,0,0,0,0.027,0,0,0.008,0.013,0,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_6120,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 18:00:00,-42.5967,148.2333,15.2,MAI20090421_WC,WC,0.039,0.027,0,0,,,0.022,0,0.7,0.253,0,0.083,0.049,,0,0,0.015,0,0,0.705,0.005,0.253,0,0,0.037,0,0.078,0,0.003,0,0,0.024,0.007,0,0,0,0.048,0,0,0.016,0.026,0,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_6121,NRS,Maria Island,MAI20090506,2009-05-06,2009-05-06 13:00:00,-42.5967,148.2333,9,MAI20090506_20,20,0.026,0.025,0,0,,,0.038,0,0.547,0.143,0.009,0.068,0.053,,0,0,0.022,0,0,0.56,0.013,0.143,0,0,0.031,0,0.096,0,0,0,0,0.016,0.014,0,0,0,0.033,0,0,0.014,0.027,1,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_6122,NRS,Maria Island,MAI20090506,2009-05-06,2009-05-06 13:10:00,-42.5967,148.2333,9,MAI20090506_80,80,0.008,0.009,0,0,,,0.012,0,0.177,0.062,0.012,0.014,0.013,,0,0,0.003,0,0,0.177,0,0.062,0,0,0.017,0,0.022,0,0,0,0,0.008,0,0,0,0,0.018,0,0,0.003,0.007,1,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_6123,NRS,Maria Island,MAI20090506,2009-05-06,2009-05-06 13:30:00,-42.5967,148.2333,9,MAI20090506_WC,WC,0.016,0.018,0,0,,,0.026,0,0.388,0.111,0.003,0.048,0.038,,0,0,0.013,0,0,0.397,0.009,0.111,0,0,0.022,0,0.059,0,0,0,0,0.011,0.009,0,0,0,0.027,0,0,0.008,0.02,1,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_6124,NRS,Maria Island,MAI20090601,2009-06-01,2009-06-01 14:00:00,-42.5967,148.2333,17,MAI20090601_20,20,0.027,0.023,0,0,,,0.026,0,0.527,0.163,0.021,0.044,0.027,,0,0,0.013,0,0,0.527,0,0.163,0,0,0.045,0,0.06,0,0,0,0,0.019,0.021,0,0,0,0.042,0,0,0.014,0.014,2,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_6125,NRS,Maria Island,MAI20090601,2009-06-01,2009-06-01 14:00:00,-42.5967,148.2333,17,MAI20090601_80,80,0.026,0.021,0,0,,,0.034,0,0.508,0.159,0.022,0.044,0.031,,0,0,0.015,0,0,0.508,0,0.159,0,0,0.051,0,0.072,0,0,0,0,0.019,0.022,0,0,0,0.042,0,0,0.01,0.01,2,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_6126,NRS,Maria Island,MAI20090601,2009-06-01,2009-06-01 11:20:00,-42.5967,148.2333,17,MAI20090601_WC,WC,0.023,0.014,0,0,,,0.023,0,0.39,0.121,0.02,0.037,0.015,,0,0,0.012,0,0,0.39,0,0.121,0,0,0.04,0,0.051,0,0,0,0,0.017,0.018,0,0,0,0.035,0,0,0.01,0.007,2,POINT (148.23333 -42.59667)
bgc_pigments_data.fid-69bb3c22_19109cfb4e1_6127,NRS,Maria Island,MAI20090716,2009-07-16,2009-07-16 11:36:00,-42.5967,148.2333,20,MAI20090716_20,20,0.01,0.011,0,0,,,0.02,0,0.242,0.07,0.01,0.023,0.018,,0,0,0.011,0,0,0.246,0.004,0.07,0,0,0.036,0,0.038,0,0,0,0,0.007,0,0,0,0,0.018,0,0,0.007,0.009,2,POINT (148.23333 -42.59667)
