FID,Project,StationName,TripCode,TripDate_UTC,SampleTime_Local,Latitude,Longitude,SecchiDepth_m,SampleID,SampleDepth_m,Salinity,Salinity_flag,DIC_umolkg,DIC_flag,Alkalinity_umolkg,Alkalinity_flag,Oxygen_umolL,Oxygen_flag,Ammonium_umolL,Ammonium_flag,Nitrate_umolL,Nitrate_flag,Nitrite_umolL,Nitrite_flag,Phosphate_umolL,Phosphate_flag,Silicate_umolL,Silicate_flag,AustralianMicrobiomeId,geom
bgc_chemistry_data.fid-69bb3c22_19109cfb4e1_66c9,NRS,Port Hacking,PHB20090223,2009-02-23,2009-02-24 09:42:00,-34.1192,151.2267,17.75,PHB20090223_0,0,34.982,1,1985.4,1,2296.42,1,,9,0,1,0,1,,9,0.09,1,0.3,1,,POINT (151.22667 -34.11923)
bgc_chemistry_data.fid-69bb3c22_19109cfb4e1_66ca,NRS,Port Hacking,PHB20090223,2009-02-23,2009-02-24 09:42:00,-34.1192,151.2267,17.75,PHB20090223_10,10,35.236,1,,9,,9,,9,0.06,1,0.1,1,,9,0.11,1,-0.1,1,,POINT (151.22667 -34.11923)
bgc_chemistry_data.fid-69bb3c22_19109cfb4e1_66cb,NRS,Port Hacking,PHB20090223,2009-02-23,2009-02-24 09:42:00,-34.1192,151.2267,17.75,PHB20090223_20,20,35.398,1,,9,,9,,9,1.14,2,2.4,1,,9,0.35,1,0.9,1,,POINT (151.22667 -34.11923)
bgc_chemistry_data.fid-69bb3c22_19109cfb4e1_66cc,NRS,Port Hacking,PHB20090223,2009-02-23,2009-02-24 09:42:00,-34.1192,151.2267,17.75,PHB20090223_25,25,35.424,1,2058.56,1,2321.29,1,,9,1.82,2,4.3,1,,9,0.54,1,1.9,1,,POINT (151.22667 -34.11923)
bgc_chemistry_data.fid-69bb3c22_19109cfb4e1_66cd,NRS,Port Hacking,PHB20090223,2009-02-23,2009-02-24 09:42:00,-34.1192,151.2267,17.75,PHB20090223_30,30,35.418,1,,9,,9,,9,2.36,2,5.6,1,,9,0.67,1,2.5,1,,POINT (151.22667 -34.11923)
bgc_chemistry_data.fid-69bb3c22_19109cfb4e1_66ce,NRS,Port Hacking,PHB20090223,2009-02-23,2009-02-24 09:42:00,-34.1192,151.2267,17.75,PHB20090223_40,40,35.472,1,2100.93,1,2325.36,1,,9,0.89,2,7,1,,9,0.62,1,2.4,1,,POINT (151.22667 -34.11923)
bgc_chemistry_data.fid-69bb3c22_19109cfb4e1_66cf,NRS,Port Hacking,PHB20090223,2009-02-23,2009-02-24 09:42:00,-34.1192,151.2267,17.75,PHB20090223_50,50,35.435,1,,9,,9,,9,0.71,2,8.2,1,,9,0.74,1,3.5,1,,POINT (151.22667 -34.11923)
bgc_chemistry_data.fid-69bb3c22_19109cfb4e1_66d0,NRS,Port Hacking,PHB20090223,2009-02-23,2009-02-24 09:42:00,-34.1192,151.2267,17.75,PHB20090223_60,60,35.413,1,2122.54,1,2334.04,1,,9,0.02,1,9.6,1,,9,0.76,1,3.8,1,,POINT (151.22667 -34.11923)
bgc_chemistry_data.fid-69bb3c22_19109cfb4e1_66d1,NRS,Port Hacking,PHB20090223,2009-02-23,2009-02-24 09:42:00,-34.1192,151.2267,17.75,PHB20090223_75,75,35.39,1,2121.9,1,2321.51,1,,9,0.03,1,10.1,1,,9,0.78,1,4.3,1,,POINT (151.22667 -34.11923)
bgc_chemistry_data.fid-69bb3c22_19109cfb4e1_66d2,NRS,Port Hacking,PHB20090223,2009-02-23,2009-02-24 09:42:00,-34.1192,151.2267,17.75,PHB20090223_100,100,35.356,1,2123.98,1,2320.05,1,,9,0.02,1,8.8,1,,9,0.85,1,6.4,1,,POINT (151.22667 -34.11923)
bgc_chemistry_data.fid-69bb3c22_19109cfb4e1_66d3,NRS,Port Hacking,PHB20090318,2009-03-18,2009-03-19 09:54:00,-34.1192,151.2267,10,PHB20090318_0,0,35.413,1,1999.95,1,2319.4,1,,9,0,1,0,1,,9,0.04,1,0,1,,POINT (151.22667 -34.11923)
bgc_chemistry_data.fid-69bb3c22_19109cfb4e1_66d4,NRS,Port Hacking,PHB20090318,2009-03-18,2009-03-19 09:54:00,-34.1192,151.2267,10,PHB20090318_10,10,35.374,1,,9,,9,,9,0,1,0,1,,9,0.05,1,0,1,,POINT (151.22667 -34.11923)
bgc_chemistry_data.fid-69bb3c22_19109cfb4e1_66d5,NRS,Port Hacking,PHB20090318,2009-03-18,2009-03-19 09:54:00,-34.1192,151.2267,10,PHB20090318_20,20,35.331,1,,9,,9,,9,0.06,1,0,1,,9,0.07,1,0,1,,POINT (151.22667 -34.11923)
bgc_chemistry_data.fid-69bb3c22_19109cfb4e1_66d6,NRS,Port Hacking,PHB20090318,2009-03-18,2009-03-19 09:54:00,-34.1192,151.2267,10,PHB20090318_25,25,35.431,1,2026.18,1,2321.54,1,,9,0,1,0.1,1,,9,0.09,1,0,1,,POINT (151.22667 -34.11923)
bgc_chemistry_data.fid-69bb3c22_19109cfb4e1_66d7,NRS,Port Hacking,PHB20090318,2009-03-18,2009-03-19 09:54:00,-34.1192,151.2267,10,PHB20090318_30,30,35.552,1,,9,,9,,9,0.3,1,4.3,1,,9,0.35,1,0.9,1,,POINT (151.22667 -34.11923)
bgc_chemistry_data.fid-69bb3c22_19109cfb4e1_66d8,NRS,Port Hacking,PHB20090318,2009-03-18,2009-03-19 09:54:00,-34.1192,151.2267,10,PHB20090318_40,40,35.581,1,2079.31,1,2329.84,1,,9,0.08,1,5,1,,9,0.38,1,1.3,1,,POINT (151.22667 -34.11923)
bgc_chemistry_data.fid-69bb3c22_19109cfb4e1_66d9,NRS,Port Hacking,PHB20090318,2009-03-18,2009-03-19 09:54:00,-34.1192,151.2267,10,PHB20090318_50,50,35.574,1,,9,,9,,9,0.03,1,5.7,1,,9,0.42,1,1.7,1,,POINT (151.22667 -34.11923)
bgc_chemistry_data.fid-69bb3c22_19109cfb4e1_66da,NRS,Port Hacking,PHB20090318,2009-03-18,2009-03-19 09:54:00,-34.1192,151.2267,10,PHB20090318_60,60,35.556,1,2086.62,1,2328.09,1,,9,0,1,6.7,1,,9,0.47,1,2.2,1,,POINT (151.22667 -34.11923)
bgc_chemistry_data.fid-69bb3c22_19109cfb4e1_66db,NRS,Port Hacking,PHB20090318,2009-03-18,2009-03-19 09:54:00,-34.1192,151.2267,10,PHB20090318_75,75,35.495,1,2094.58,1,2325.58,1,,9,0,1,7.8,1,,9,0.54,1,2.5,1,,POINT (151.22667 -34.11923)
bgc_chemistry_data.fid-69bb3c22_19109cfb4e1_66dc,NRS,Port Hacking,PHB20090318,2009-03-18,2009-03-19 09:54:00,-34.1192,151.2267,10,PHB20090318_100,100,35.405,1,2110.25,1,2321.08,1,,9,0,1,9.8,1,,9,0.68,1,3.8,1,,POINT (151.22667 -34.11923)
bgc_chemistry_data.fid-69bb3c22_19109cfb4e1_66dd,NRS,Port Hacking,PHB20090422,2009-04-22,2009-04-23 09:53:00,-34.1192,151.2267,13.25,PHB20090422_0,0,35.278,1,,9,2310.15,1,,9,0.03,1,0,1,,9,0.07,1,1,1,,POINT (151.22667 -34.11923)
