FID,Project,StationName,TripCode,TripDate_UTC,SampleTime_Local,Latitude,Longitude,SecchiDepth_m,SampleID,SampleDepth_m,Allo_mgm3,AlphaBetaCar_mgm3,Anth_mgm3,Asta_mgm3,BetaBetaCar_mgm3,BetaEpiCar_mgm3,Butfuco_mgm3,Cantha_mgm3,CphlA_mgm3,CphlB_mgm3,CphlC1_mgm3,CphlC2_mgm3,CphlC3_mgm3,CphlC1C2_mgm3,CphlideA_mgm3,Diadchr_mgm3,Diadino_mgm3,Diato_mgm3,Dino_mgm3,DvCphlA+CphlA_mgm3,DvCphlA_mgm3,DvCphlB+CphlB_mgm3,DvCphlB_mgm3,Echin_mgm3,Fuco_mgm3,Gyro_mgm3,Hexfuco_mgm3,Ketohexfuco_mgm3,Lut_mgm3,Lyco_mgm3,MgDvp_mgm3,Neo_mgm3,Perid_mgm3,PhideA_mgm3,PhytinA_mgm3,PhytinB_mgm3,Pras_mgm3,PyrophideA_mgm3,PyrophytinA_mgm3,Viola_mgm3,Zea_mgm3,Pigments_flag,geom
bgc_pigments_data.fid-736cf608_19109cfb83b_70f3,NRS,Port Hacking,PHB20090223,2009-02-23,2009-02-24 12:34:00,-34.1192,151.2267,17.75,PHB20090223_WC,WC,0,0.013,0,0,,,0.024,0,0.21,0.033,0,0.027,0.029,,0.014,0,0.014,0.005,0,0.21,0,0.033,0,0,0.044,0,0.039,0,0,0,0,0.005,0,0,0,0,0.008,0,0,0.004,0.024,1,POINT (151.22667 -34.11923)
bgc_pigments_data.fid-736cf608_19109cfb83b_70f4,NRS,Port Hacking,PHB20090422,2009-04-22,2009-04-23 11:38:00,-34.1192,151.2267,13.25,PHB20090422_WC,WC,0.006,0.016,0,0,,,0.028,0,0.208,0.039,0,0.027,0.021,,0,0,0.012,0,0,0.224,0.016,0.039,0,0,0.022,0,0.047,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0.028,1,POINT (151.22667 -34.11923)
bgc_pigments_data.fid-736cf608_19109cfb83b_70f5,NRS,Port Hacking,PHB20090518,2009-05-18,2009-05-19 11:59:00,-34.1192,151.2267,11.5,PHB20090518_WC,WC,0.011,0.017,0,0,,,0.022,0,0.334,0.031,0,0.053,0.045,,0.072,0,0.017,0,0,0.346,0.012,0.031,0,0,0.119,0,0.052,0,0,0,0,0.004,0,0.094,0,0,0.011,0,0,0,0.027,1,POINT (151.22667 -34.11923)
bgc_pigments_data.fid-736cf608_19109cfb83b_70f6,NRS,Port Hacking,PHB20090623,2009-06-23,2009-06-24 11:04:00,-34.1192,151.2267,12,PHB20090623_WC,WC,0.009,0.017,0,0,,,0.021,0,0.271,0.036,0,0.031,0.03,,0.027,0,0.013,0,0,0.271,0,0.036,0,0,0.061,0,0.051,0,0,0,0,0.004,0,0,0,0,0.01,0,0,0.003,0.012,1,POINT (151.22667 -34.11923)
bgc_pigments_data.fid-736cf608_19109cfb83b_70f7,NRS,Port Hacking,PHB20090714,2009-07-14,2009-07-15 09:15:00,-34.1192,151.2267,10,PHB20090714_WC,WC,0.026,0.01,0,0,,,0.022,0,0.609,0.058,0.019,0.064,0.042,,0,0,0.029,0,0,0.609,0,0.058,0,0,0.186,0,0.044,0,0,0,0,0.006,0,0,0,0,0.015,0,0,0.006,0,2,POINT (151.22667 -34.11923)
bgc_pigments_data.fid-736cf608_19109cfb83b_70f8,NRS,Port Hacking,PHB20090819,2009-08-19,2009-08-20 10:20:00,-34.1192,151.2267,15.5,PHB20090819_WC,WC,0.029,0.022,0,0,,,0.016,0,0.475,0.103,0.008,0.062,0.028,,0,0,0.023,0.003,0,0.475,0,0.103,0,0,0.053,0,0.057,0,0,0,0,0.011,0.048,0,0,0,0.03,0,0,0.009,0.01,1,POINT (151.22667 -34.11923)
bgc_pigments_data.fid-736cf608_19109cfb83b_70f9,NRS,Port Hacking,PHB20090920,2009-09-20,2009-09-21 09:17:00,-34.1192,151.2267,16,PHB20090920_WC,WC,0.006,0.019,0,0,,,0.007,0,0.519,0.025,0,0.066,0.034,,0.155,0,0.039,0.007,0,0.519,0,0.025,0,0,0.235,0,0.03,0,0,0,0,0.003,0.006,0,0,0,0.008,0,0,0.003,0,2,POINT (151.22667 -34.11923)
bgc_pigments_data.fid-736cf608_19109cfb83b_70fa,NRS,Port Hacking,PHB20090924,2009-09-24,2009-09-25 08:45:00,-34.1192,151.2267,10.75,PHB20090924_WC,WC,0.008,0.042,0,0,,,0.022,0,1.389,0.057,0.124,0,0.132,,0.961,0,0.105,0.01,0,1.389,0,0.057,0,0,0.805,0,0.044,0,0,0,0,0.006,0.031,0,0,0,0.009,0,0,0,0,2,POINT (151.22667 -34.11923)
bgc_pigments_data.fid-736cf608_19109cfb83b_70fb,NRS,Port Hacking,PHB20091011,2009-10-11,2009-10-12 11:18:00,-34.1192,151.2267,14,PHB20091011_WC,WC,0.047,0.027,0,0.008,,,0.033,0,0.622,0.056,0,0.09,0.053,,0,0,0.042,0.007,0,0.622,0,0.056,0,0,0.078,0,0.094,0,0,0,0,0.006,0.045,0,0,0,0.013,0,0,0.006,0.007,1,POINT (151.22667 -34.11923)
bgc_pigments_data.fid-736cf608_19109cfb83b_70fc,NRS,Port Hacking,PHB20091110,2009-11-10,2009-11-11 11:30:00,-34.1192,151.2267,22,PHB20091110_WC,WC,0,0.014,0,0,,,0.017,0,0.471,0,0,0.076,0.124,,0.184,0,0.033,0.012,0,0.471,0,0,0,0,0.3,0,0.026,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,1,POINT (151.22667 -34.11923)
